perfil,tamanho,instancia,algoritmo,exato,status,soma_a,soma_b,diferenca,diferenca_referencia,referencia_comprovada,gap_absoluto,gap_percentual,desequilibrio_relativo_pct,atingiu_otimo,tempo_ms,tempo_min_ms,tempo_max_ms,tempo_desvio_padrao_ms,repeticoes_medicao,memoria_alocada_mb,estados_explorados,chamadas_recursivas,podas,profundidade_maxima,observacao
UNIFORME_PEQUENO,20,uniforme_pequeno_n20_v0,Guloso,false,SUCESSO,446,445,1,1,true,0,0.0000,0.112233,true,0.0367,0.0367,0.0367,0.0000,1,0.0003,20,0,0,20,
UNIFORME_PEQUENO,20,uniforme_pequeno_n20_v0,KarmarkarKarp,false,SUCESSO,445,446,1,1,true,0,0.0000,0.112233,true,0.1012,0.1012,0.1012,0.0000,1,0.0044,19,0,0,7,
UNIFORME_PEQUENO,20,uniforme_pequeno_n20_v1,Backtracking,true,SUCESSO,551,551,0,0,true,0,0.0000,0.000000,true,0.0307,0.0307,0.0307,0.0000,1,0.0002,6119,6119,0,20,
UNIFORME_PEQUENO,20,uniforme_pequeno_n20_v1,BranchAndBound,true,SUCESSO,551,551,0,0,true,0,0.0000,0.000000,true,0.1296,0.1296,0.1296,0.0000,1,0.0006,1204,1204,383,20,
UNIFORME_PEQUENO,20,uniforme_pequeno_n20_v1,ProgramacaoDinamica,true,SUCESSO,551,551,0,0,true,0,0.0000,0.000000,true,0.7692,0.7692,0.7692,0.0000,1,0.0116,11040,0,0,20,
UNIFORME_PEQUENO,20,uniforme_pequeno_n20_v1,Guloso,false,SUCESSO,551,551,0,0,true,0,0.0000,0.000000,true,0.0319,0.0319,0.0319,0.0000,1,0.0003,20,0,0,20,
UNIFORME_PEQUENO,20,uniforme_pequeno_n20_v1,KarmarkarKarp,false,SUCESSO,551,551,0,0,true,0,0.0000,0.000000,true,0.1029,0.1029,0.1029,0.0000,1,0.0044,19,0,0,5,
UNIFORME_PEQUENO,22,uniforme_pequeno_n22_v0,Backtracking,true,SUCESSO,557,557,0,0,true,0,0.0000,0.000000,true,0.0539,0.0539,0.0539,0.0000,1,0.0002,14684,14684,0,22,
UNIFORME_PEQUENO,22,uniforme_pequeno_n22_v0,BranchAndBound,true,SUCESSO,557,557,0,0,true,0,0.0000,0.000000,true,0.0791,0.0791,0.0791,0.0000,1,0.0006,1210,1210,380,22,
UNIFORME_PEQUENO,22,uniforme_pequeno_n22_v0,ProgramacaoDinamica,true,SUCESSO,557,557,0,0,true,0,0.0000,0.000000,true,1.0204,1.0204,1.0204,0.0000,1,0.0129,12276,0,0,22,
UNIFORME_PEQUENO,22,uniforme_pequeno_n22_v0,Guloso,false,SUCESSO,557,557,0,0,true,0,0.0000,0.000000,true,0.1068,0.1068,0.1068,0.0000,1,0.0003,22,0,0,22,
UNIFORME_PEQUENO,22,uniforme_pequeno_n22_v0,KarmarkarKarp,false,SUCESSO,557,557,0,0,true,0,0.0000,0.000000,true,0.2782,0.2782,0.2782,0.0000,1,0.0048,21,0,0,7,
UNIFORME_PEQUENO,22,uniforme_pequeno_n22_v1,Backtracking,true,SUCESSO,458,457,1,1,true,0,0.0000,0.109290,true,12.8559,12.8559,12.8559,0.0000,1,0.0002,4194303,4194303,0,22,
